"ID","Title","Attachments","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C407","The main page contain  ‘Sign in to your account' form","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","Main page","1","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C408","The main page contains the ‘Sign Up"""" link","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","Main page","1","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C409","The main page contains the """"Sign Up with Google"""" link","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","Main page","1","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C410","The """"Sign In"""" form should contain the """"Email"""" required field","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","‘Sign in to your account' form","2","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C411","The """"Sign In"""" form should contain the """"Password"""" required field","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","‘Sign in to your account' form","2","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C412","The """"Sign In"""" form should contain [Sign In] button","","Maryna Kovalenko","10/22/2025 9:12 AM","","","Critical","","‘Sign in to your account' form","2","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C413","The """"Sign In"""" form should contain """"Forgot password"""" link","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","‘Sign in to your account' form","2","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C414","The user can sign in to filling all required fields","","Maryna Kovalenko","10/22/2025 9:12 AM","","","Critical","","‘Sign in to your account' form","2","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C415","The user can sign in with already registered credentials","","Maryna Kovalenko","10/22/2025 9:12 AM","","","Critical","","‘Sign in to your account' form","2","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C416","The user can sign in by entering in the """"Email"""" field already registered email","","Maryna Kovalenko","10/22/2025 9:12 AM","","","Critical","","“Email” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C417","The user can't Sign In without the dot symbol (.) in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","“Email” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C418","The user can't Sign In without the At symbol (@) in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","“Email” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C419","When the user enters an invalid email in the """"Email"""" field, the validation message appears","","Maryna Kovalenko","10/22/2025 9:12 AM","","","Medium","","“Email” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C420","The user can't Sign In without the username before the 'at"""" symbol in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","“Email” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C421","The user can't sign in without the domain in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","“Email” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C422","The user can't Sign in with multiple @ symbols in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","“Email” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C423","The user can't sign in with an empty """"Email"""" field","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","“Email” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C424","The user can't sign in with a SQL/script injection attempt in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","“Email” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C425","The user can't sign in with long email (64+ characters before @) in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","“Email” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C426","The user can't sign in with a long domain (over 254 total characters) in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","“Email” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C427","The user can sign in by entering in the """"Password"""" field already registered password","","Maryna Kovalenko","10/22/2025 9:12 AM","","","Critical","","“Password” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C428","The user can sign in by entering at least one uppercase letter in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 9:12 AM","","","Critical","","“Password” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C429","The user can sign in by entering at least one lowercase letter in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 9:12 AM","","","Critical","","“Password” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C430","The user can sign in by entering at least one number in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 9:12 AM","","","Critical","","“Password” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C431","The user can sign in by entering at least one special character in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 9:12 AM","","","Critical","","“Password” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C432","When the user enters an invalid password in the """"Password"""" field, the validation message appears:"""" Wrong email or password!""""","","Maryna Kovalenko","10/22/2025 9:12 AM","","","Medium","","“Password” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C433","The user can't sign in with empty """"Password"""" field","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","“Password” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C434","The user can't sign in by entering only letters in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","“Password” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C435","The user can't sign in by entering only numbers in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","“Password” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C436","The user can't sign in by entering only special symbols in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","“Password” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C437","The user can't sign in by entering only special symbols in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","“Password” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C438","Verify that the user is not able to copy values from the """"Password"""" field","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","“Password” field","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C439","When the users enter all valid credentials and tap on the [Sign In] button, they are redirected to the """"Chat"""" page","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","[Sign in] button","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C440","When users click on the """"Forgot password """" link, they are redirected to the """"Forgot password"""" page","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","“Forgot password” link","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
"C441","When not logged in users click on """"Sign up"""" link, they are redirected to """" Create an account """" form","","Maryna Kovalenko","10/22/2025 9:12 AM","","","High","","“Sign up” link","3","","Master","S7","Other","Maryna Kovalenko","10/22/2025 9:12 AM"
